IR_Intensity
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
1672
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
1370
15
18
15
15
15
15
15
706
15
15
15
15
15
568
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
943
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
15
766
766
15
15
766
766
15
766
15
766
15
766
15
15
15
15
15
15
687
765
687
765
687
687
687
687
687
687
687
1683
647
647
588
1683
520
15
426
389
356
356
330
330
332
350
723
375
396
422
452
495
188
585
631
670
708
745
773
804
825
841
852
861
863
863
863
863
863
863
863
863
863
863
863
863
863
863
863
863
863
866
866
886
886
925
925
984
984
1013
1061
1104
1153
1180
1209
1233
1255
1270
1282
1287
1288
1288
1288
1288
1288
1288
1288
1288
1288
1288
1287
15
1287
1287
1287
15
1287
15
1287
1287
1287
1287
1287
15
1287
15
1287
1287
1287
1287
1287
1287
1287
901
1287
1287
1287
1287
18
1287
1287
1287
1287
1287
15
1286
900
1286
900
1286
1286
1286
1286
1286
18
1286
15
1286
15
1286
15
1286
18
1286
1286
1286
18
1286
15
1286
1286
1286
1286
1286
1286
1286
1286
